订单ID,团长ID,订单日期,订单金额,参团人数,商品分类,团长返现金额
321515669,100535,2018/2/19,1353,8,零食-膨化食品,75.65
321515670,100832,2018/2/19,1120,7,家用-清洁用品,63
321515671,100790,2018/2/19,1235,5,零食-方便食品,66.75
321515672,100883,2018/2/19,824,16,生鲜-水产,57.2
321515673,100505,2018/2/19,399,15,家用-个人护理,34.95
321515674,100970,2018/2/19,773,9,家用-日化用品,47.65
321515675,100676,2018/2/19,761,6,生鲜-禽肉,44.05
321515676,100749,2018/2/19,1121,6,零食-方便食品,62.05
321515677,100480,2018/2/19,1177,10,零食-膨化食品,68.85
321515678,100384,2018/2/19,849,12,家用-个人护理,54.45
321515679,100663,2018/2/19,917,20,零食-膨化食品,65.85
321515680,100500,2018/2/19,1178,15,零食-坚果,73.9
321515681,100373,2018/2/19,1166,1,家用-清洁用品,59.3
321515682,100676,2018/2/19,1324,6,零食-坚果,72.2
321515683,100685,2018/2/19,579,1,生鲜-禽肉,29.95
321515684,100457,2018/2/19,721,9,零食-饮料,45.05
321515685,100944,2018/2/19,964,2,生鲜-蔬菜,50.2
321515686,100507,2018/2/19,614,7,零食-方便食品,37.7
321515687,100668,2018/2/19,785,12,零食-方便食品,51.25
321515688,100702,2018/2/19,1425,13,家用-清洁用品,84.25
321515689,100599,2018/2/19,695,10,零食-方便食品,44.75
321515690,100971,2018/2/19,880,14,家用-清洁用品,58
321515691,100643,2018/2/19,1206,2,家用-日化用品,62.3
321515692,100383,2018/2/19,804,16,零食-饮料,56.2
321515693,100396,2018/2/19,1452,6,零食-饮料,78.6
321515694,100466,2018/2/19,760,16,生鲜-禽肉,54
321515695,100587,2018/2/19,661,12,零食-坚果,45.05
321515696,100468,2018/2/19,1472,15,家用-日化用品,88.6
321515697,100993,2018/2/19,1116,10,家用-清洁用品,65.8
321515698,100750,2018/2/19,829,12,零食-坚果,53.45
321515699,100996,2018/2/19,1217,14,家用-日化用品,74.85
321515700,100686,2018/2/19,915,13,零食-方便食品,58.75
321515701,100503,2018/2/19,1115,10,零食-坚果,65.75
321515702,100607,2018/2/19,594,16,家用-清洁用品,45.7
321515703,100414,2018/2/19,950,3,家用-清洁用品,50.5
321515704,100646,2018/2/19,1313,5,零食-饮料,70.65
321515705,100697,2018/2/19,909,16,家用-个人护理,61.45
321515706,100595,2018/2/19,871,5,生鲜-水产,48.55
321515707,100422,2018/2/19,797,17,家用-清洁用品,56.85
321515708,100831,2018/2/19,1435,17,零食-方便食品,88.75
321515709,100729,2018/2/19,381,12,家用-清洁用品,31.05
321515710,100666,2018/2/19,885,3,生鲜-水产,47.25
321515711,100487,2018/2/20,588,15,零食-坚果,44.4
321515712,100849,2018/2/20,675,10,生鲜-蔬菜,43.75
321515713,100988,2018/2/20,831,13,家用-日化用品,54.55
321515714,100579,2018/2/20,1283,9,家用-个人护理,73.15
321515715,100633,2018/2/20,1397,6,零食-膨化食品,75.85
321515716,100908,2018/2/20,951,11,生鲜-禽肉,58.55
321515717,100800,2018/2/20,1054,15,生鲜-禽肉,67.7
321515718,100854,2018/2/20,1616,6,生鲜-蔬菜,86.8
321515719,100501,2018/2/20,785,4,零食-方便食品,43.25
321515720,100764,2018/2/20,1075,14,生鲜-蔬菜,67.75
321515721,100599,2018/2/20,1123,24,家用-日化用品,80.15
321515722,100902,2018/2/20,1309,6,生鲜-水产,71.45
321515723,100720,2018/2/20,767,8,家用-个人护理,46.35
321515724,100602,2018/2/20,160,9,生鲜-水果,17
321515725,100565,2018/2/20,1364,2,家用-清洁用品,70.2
321515726,100987,2018/2/20,475,5,零食-方便食品,28.75
321515727,100746,2018/2/20,1180,13,零食-饮料,72
321515728,100545,2018/2/20,1005,10,家用-日化用品,60.25
321515729,100549,2018/2/20,1051,7,生鲜-水果,59.55
321515730,100426,2018/2/20,589,3,零食-方便食品,32.45
321515731,100606,2018/2/20,661,13,零食-方便食品,46.05
321515732,100580,2018/2/20,1010,5,家用-个人护理,55.5
321515733,100363,2018/2/20,1022,12,零食-坚果,63.1
321515734,100926,2018/2/20,527,12,生鲜-水产,38.35
321515735,100753,2018/2/20,1036,9,生鲜-水果,60.8
321515736,100675,2018/2/20,802,9,家用-个人护理,49.1
321515737,100867,2018/2/20,1051,10,零食-方便食品,62.55
321515738,100867,2018/2/20,1022,5,家用-个人护理,56.1
321515739,100673,2018/2/20,583,4,家用-清洁用品,33.15
321515740,100973,2018/2/20,896,9,生鲜-蔬菜,53.8
321515741,100857,2018/2/20,851,2,家用-清洁用品,44.55
321515742,100743,2018/2/20,1418,6,家用-清洁用品,76.9
321515743,100579,2018/2/20,987,11,生鲜-水产,60.35
321515744,100935,2018/2/20,931,14,零食-方便食品,60.55
321515745,100612,2018/2/20,1161,11,生鲜-禽肉,69.05
321515746,100375,2018/2/20,1035,11,生鲜-禽肉,62.75
321515747,100737,2018/2/20,911,1,零食-方便食品,46.55
321515748,100778,2018/2/20,363,7,生鲜-禽肉,25.15
321515749,100570,2018/2/20,764,9,生鲜-蔬菜,47.2
321515750,100648,2018/2/20,803,13,零食-方便食品,53.15
321515751,100502,2018/2/20,1290,20,零食-膨化食品,84.5
321515752,100538,2018/2/20,732,9,家用-个人护理,45.6
321515753,100901,2018/2/20,1456,8,零食-饮料,80.8
321515754,100648,2018/2/20,936,8,家用-日化用品,54.8
321515755,100669,2018/2/20,1211,12,家用-个人护理,72.55
321515756,100608,2018/2/20,1717,13,零食-膨化食品,98.85
321515757,100798,2018/2/20,836,9,零食-坚果,50.8
321515758,100619,2018/2/20,1233,10,零食-方便食品,71.65
321515759,100721,2018/2/20,985,11,家用-清洁用品,60.25
321515760,100417,2018/2/20,1434,1,生鲜-蔬菜,72.7
321515761,100558,2018/2/20,589,9,家用-清洁用品,38.45
321515762,100938,2018/2/20,1376,2,家用-个人护理,70.8
321515763,100882,2018/2/20,668,24,零食-膨化食品,57.4
321515764,100379,2018/2/20,741,10,生鲜-水果,47.05
321515765,100683,2018/2/20,1443,6,生鲜-水果,78.15
321515766,100924,2018/2/20,1121,11,零食-膨化食品,67.05
321515767,100754,2018/2/20,1132,9,生鲜-蔬菜,65.6
321515768,100683,2018/2/20,1237,6,零食-饮料,67.85
321515769,100634,2018/2/20,1035,15,零食-膨化食品,66.75
321515770,100473,2018/2/20,1012,3,零食-膨化食品,53.6
321515771,100358,2018/2/20,1198,14,家用-日化用品,73.9
321515772,100431,2018/2/20,935,12,零食-方便食品,58.75
321515773,100848,2018/2/20,959,12,零食-饮料,59.95
321515774,100776,2018/2/20,946,6,生鲜-水产,53.3
321515775,100960,2018/2/20,1214,12,家用-日化用品,72.7
321515776,100860,2018/2/20,608,9,零食-膨化食品,39.4
321515777,100875,2018/2/20,1681,3,家用-个人护理,87.05
321515778,100469,2018/2/20,949,3,零食-膨化食品,50.45
321515779,100806,2018/2/20,1139,10,生鲜-禽肉,66.95
321515780,100628,2018/2/20,824,8,生鲜-蔬菜,49.2
321515781,100429,2018/2/20,1174,12,生鲜-蔬菜,70.7
321515782,100491,2018/2/20,975,1,零食-方便食品,49.75
321515783,100816,2018/2/20,117,12,生鲜-水产,17.85
321515784,100764,2018/2/20,877,13,家用-清洁用品,56.85
321515785,100628,2018/2/20,826,11,生鲜-水产,52.3
321515786,100900,2018/2/21,820,16,家用-日化用品,57
321515787,100453,2018/2/21,272,11,生鲜-蔬菜,24.6
321515788,100985,2018/2/21,787,12,生鲜-水果,51.35
321515789,100831,2018/2/21,1182,14,家用-清洁用品,73.1
321515790,100527,2018/2/21,964,11,生鲜-水果,59.2
321515791,100611,2018/2/21,945,1,生鲜-水果,48.25
321515792,100461,2018/2/21,990,14,家用-日化用品,63.5
321515793,100939,2018/2/21,1363,21,零食-方便食品,89.15
321515794,100896,2018/2/21,1118,14,零食-坚果,69.9
321515795,100553,2018/2/21,849,4,零食-方便食品,46.45
321515796,100987,2018/2/21,929,4,生鲜-水果,50.45
321515797,100933,2018/2/21,629,8,家用-日化用品,39.45
321515798,100857,2018/2/21,1064,14,零食-坚果,67.2
321515799,100385,2018/2/21,1081,9,生鲜-蔬菜,63.05
321515800,100592,2018/2/21,302,21,零食-膨化食品,36.1
321515801,100707,2018/2/21,696,20,零食-方便食品,54.8
321515802,100754,2018/2/21,1233,1,零食-坚果,62.65
321515803,100574,2018/2/21,897,13,生鲜-蔬菜,57.85
321515804,100841,2018/2/21,888,15,家用-日化用品,59.4
321515805,100945,2018/2/21,545,2,生鲜-水产,29.25
321515806,100365,2018/2/21,1341,3,家用-个人护理,70.05
321515807,100396,2018/2/21,1010,11,零食-坚果,61.5
321515808,100607,2018/2/21,1270,5,家用-清洁用品,68.5
321515809,100884,2018/2/21,987,20,家用-个人护理,69.35
321515810,100855,2018/2/21,1591,10,家用-清洁用品,89.55
321515811,100714,2018/2/21,814,11,家用-清洁用品,51.7
321515812,100658,2018/2/21,1671,11,生鲜-禽肉,94.55
321515813,100387,2018/2/21,1262,10,家用-个人护理,73.1
321515814,100830,2018/2/21,1176,13,零食-坚果,71.8
321515815,100511,2018/2/21,830,4,家用-清洁用品,45.5
321515816,100405,2018/2/21,1258,13,生鲜-水果,75.9
321515817,100769,2018/2/21,1236,14,零食-膨化食品,75.8
321515818,100696,2018/2/21,1566,7,零食-坚果,85.3
321515819,100951,2018/2/21,1148,4,生鲜-水果,61.4
321515820,100501,2018/2/21,1068,11,生鲜-禽肉,64.4
321515821,100588,2018/2/21,862,7,生鲜-水果,50.1
321515822,100930,2018/2/21,948,5,生鲜-水果,52.4
321515823,100840,2018/2/21,1201,10,家用-清洁用品,70.05
321515824,100914,2018/2/21,1184,8,零食-饮料,67.2
321515825,100959,2018/2/21,64,8,零食-膨化食品,11.2
321515826,100780,2018/2/21,1178,4,生鲜-水产,62.9
321515827,100867,2018/2/21,985,9,生鲜-水果,58.25
321515828,100365,2018/2/21,919,10,生鲜-禽肉,55.95
321515829,100525,2018/2/21,1057,19,家用-日化用品,71.85
321515830,100804,2018/2/21,799,10,生鲜-水产,49.95
321515831,100771,2018/2/21,373,1,生鲜-水果,19.65
321515832,100677,2018/2/21,1175,20,家用-个人护理,78.75
321515833,100662,2018/2/21,981,9,家用-日化用品,58.05
321515834,100529,2018/2/21,1065,13,家用-日化用品,66.25
321515835,100685,2018/2/21,1015,5,零食-膨化食品,55.75
321515836,100583,2018/2/21,253,5,零食-饮料,17.65
321515837,100664,2018/2/21,453,4,零食-饮料,26.65
321515838,100539,2018/2/21,1208,3,家用-清洁用品,63.4
321515839,100706,2018/2/21,838,10,零食-坚果,51.9
321515840,100373,2018/2/21,1295,5,家用-清洁用品,69.75
321515841,100771,2018/2/21,1284,8,零食-膨化食品,72.2
321515842,100425,2018/2/21,501,16,家用-个人护理,41.05
321515843,100906,2018/2/21,1218,2,生鲜-水产,62.9
321515844,100715,2018/2/21,1079,10,家用-个人护理,63.95
321515845,100399,2018/2/21,1087,13,生鲜-蔬菜,67.35
321515846,100478,2018/2/21,1548,11,零食-膨化食品,88.4
321515847,100605,2018/2/21,387,3,家用-日化用品,22.35
321515848,100917,2018/2/21,625,8,生鲜-水产,39.25
321515849,100631,2018/2/21,1124,16,家用-日化用品,72.2
321515850,100948,2018/2/22,1127,9,零食-饮料,65.35
321515851,100398,2018/2/22,658,10,生鲜-水产,42.9
321515852,100592,2018/2/22,896,5,生鲜-水果,49.8
321515853,100464,2018/2/22,799,6,生鲜-水产,45.95
321515854,100980,2018/2/22,1000,9,生鲜-水产,59
321515855,100758,2018/2/22,900,16,家用-日化用品,61
321515856,100775,2018/2/22,1270,9,零食-方便食品,72.5
321515857,100441,2018/2/22,797,4,零食-膨化食品,43.85
321515858,100434,2018/2/22,1011,11,家用-清洁用品,61.55
321515859,100825,2018/2/22,1142,16,家用-个人护理,73.1
321515860,100482,2018/2/22,1002,9,生鲜-蔬菜,59.1
321515861,100901,2018/2/22,1293,6,家用-日化用品,70.65
321515862,100757,2018/2/22,656,10,零食-坚果,42.8
321515863,100720,2018/2/22,1384,8,家用-清洁用品,77.2
321515864,100846,2018/2/22,977,9,生鲜-蔬菜,57.85
321515865,100370,2018/2/22,776,10,生鲜-水产,48.8
321515866,100763,2018/2/22,1001,4,生鲜-水果,54.05
321515867,100650,2018/2/22,859,4,零食-坚果,46.95
321515868,100387,2018/2/22,930,10,生鲜-水产,56.5
321515869,100443,2018/2/22,1202,10,零食-膨化食品,70.1
321515870,100397,2018/2/22,1076,9,生鲜-水果,62.8
321515871,100929,2018/2/22,1040,11,零食-膨化食品,63
321515872,100622,2018/2/22,674,12,零食-饮料,45.7
321515873,100916,2018/2/22,1007,12,零食-膨化食品,62.35
321515874,100383,2018/2/22,676,17,家用-日化用品,50.8
321515875,100534,2018/2/22,1186,10,零食-坚果,69.3
321515876,100353,2018/2/22,1052,15,零食-饮料,67.6
321515877,100665,2018/2/22,1234,14,零食-膨化食品,75.7
321515878,100745,2018/2/22,1235,14,生鲜-禽肉,75.75
321515879,100884,2018/2/22,1064,7,生鲜-水果,60.2
321515880,100837,2018/2/22,627,7,零食-饮料,38.35
321515881,100737,2018/2/22,1507,14,生鲜-水产,89.35
321515882,100356,2018/2/22,1173,5,生鲜-禽肉,63.65
321515883,100634,2018/2/22,1274,12,生鲜-蔬菜,75.7
321515884,100531,2018/2/22,616,9,家用-日化用品,39.8
321515885,100810,2018/2/22,1312,13,零食-饮料,78.6
321515886,100435,2018/2/22,955,11,生鲜-禽肉,58.75
321515887,100605,2018/2/22,992,4,生鲜-禽肉,53.6
321515888,100848,2018/2/22,823,9,生鲜-蔬菜,50.15
321515889,100642,2018/2/22,786,13,生鲜-水果,52.3
321515890,100520,2018/2/22,990,20,生鲜-水产,69.5
321515891,100652,2018/2/22,1048,10,生鲜-禽肉,62.4
321515892,100782,2018/2/22,1304,16,零食-方便食品,81.2
321515893,100709,2018/2/22,613,11,家用-清洁用品,41.65
321515894,100837,2018/2/22,712,15,零食-膨化食品,50.6
321515895,100710,2018/2/22,1135,9,零食-方便食品,65.75
321515896,100795,2018/2/22,818,11,零食-方便食品,51.9
321515897,100392,2018/2/22,848,11,零食-方便食品,53.4
321515898,100432,2018/2/22,611,16,生鲜-禽肉,46.55
321515899,100869,2018/2/22,849,11,家用-日化用品,53.45
321515900,100432,2018/2/22,686,9,生鲜-水果,43.3
321515901,100394,2018/2/22,1609,20,零食-方便食品,100.45
321515902,100411,2018/2/22,820,11,零食-饮料,52
321515903,100718,2018/2/22,1260,13,零食-膨化食品,76
321515904,100977,2018/2/22,1023,13,零食-方便食品,64.15
321515905,100430,2018/2/22,815,6,家用-日化用品,46.75
321515906,100405,2018/2/22,1409,6,生鲜-水产,76.45
321515907,100848,2018/2/22,926,11,生鲜-禽肉,57.3
321515908,100523,2018/2/22,975,9,零食-膨化食品,57.75
321515909,100931,2018/2/22,1058,11,家用-个人护理,63.9
321515910,100733,2018/2/22,1053,10,零食-方便食品,62.65
321515911,100384,2018/2/22,637,12,家用-日化用品,43.85
321515912,100518,2018/2/22,805,11,家用-清洁用品,51.25
321515913,100742,2018/2/22,757,15,零食-方便食品,52.85
321515914,100506,2018/2/22,637,11,家用-个人护理,42.85
321515915,100353,2018/2/22,1248,4,生鲜-水果,66.4
321515916,100477,2018/2/22,753,14,家用-日化用品,51.65
321515917,100858,2018/2/22,1083,15,零食-膨化食品,69.15
321515918,100632,2018/2/22,618,8,家用-个人护理,38.9
321515919,100996,2018/2/22,938,6,零食-坚果,52.9
321515920,100519,2018/2/22,1010,10,家用-日化用品,60.5
321515921,100437,2018/2/22,1617,14,零食-方便食品,94.85
321515922,100392,2018/2/22,700,6,生鲜-水产,41
321515923,100360,2018/2/22,1089,3,家用-日化用品,57.45
321515924,100944,2018/2/22,1178,8,生鲜-禽肉,66.9
321515925,100492,2018/2/22,965,17,零食-膨化食品,65.25
321515926,100401,2018/2/22,1227,14,生鲜-水产,75.35
321515927,100383,2018/2/22,954,4,家用-清洁用品,51.7
321515928,100749,2018/2/23,677,8,生鲜-水果,41.85
321515929,100987,2018/2/23,858,2,零食-饮料,44.9
321515930,100603,2018/2/23,703,20,家用-个人护理,55.15
321515931,100687,2018/2/23,654,7,零食-坚果,39.7
321515932,100482,2018/2/23,1306,7,生鲜-蔬菜,72.3
321515933,100428,2018/2/23,1222,4,零食-饮料,65.1
321515934,100898,2018/2/23,1337,10,零食-方便食品,76.85
321515935,100951,2018/2/23,826,14,零食-方便食品,55.3
321515936,100682,2018/2/23,1015,10,家用-日化用品,60.75
321515937,100689,2018/2/23,765,4,生鲜-蔬菜,42.25
321515938,100931,2018/2/23,1190,15,家用-个人护理,74.5
321515939,100696,2018/2/23,875,12,零食-膨化食品,55.75
321515940,100521,2018/2/23,607,7,生鲜-水产,37.35
321515941,100605,2018/2/23,1743,8,生鲜-水果,95.15
321515942,100962,2018/2/23,1666,9,零食-坚果,92.3
321515943,100934,2018/2/23,1230,15,家用-个人护理,76.5
321515944,100574,2018/2/23,833,12,生鲜-水果,53.65
321515945,100394,2018/2/23,1267,14,零食-坚果,77.35
321515946,100621,2018/2/23,618,8,零食-膨化食品,38.9
321515947,100484,2018/2/23,1083,5,生鲜-禽肉,59.15
321515948,100901,2018/2/23,1299,6,生鲜-禽肉,70.95
321515949,100626,2018/2/23,707,8,家用-个人护理,43.35
321515950,100381,2018/2/23,733,10,家用-日化用品,46.65
321515951,100429,2018/2/23,1480,3,生鲜-蔬菜,77
321515952,100687,2018/2/23,677,12,生鲜-水产,45.85
321515953,100933,2018/2/23,763,3,家用-日化用品,41.15
321515954,100747,2018/2/23,817,11,生鲜-禽肉,51.85
321515955,100962,2018/2/23,773,9,家用-个人护理,47.65
321515956,100516,2018/2/23,1066,7,生鲜-水果,60.3
321515957,100880,2018/2/23,448,12,家用-个人护理,34.4
321515958,100356,2018/2/23,976,8,家用-清洁用品,56.8
321515959,100661,2018/2/23,556,18,生鲜-禽肉,45.8
321515960,100580,2018/2/23,170,5,家用-日化用品,13.5
321515961,100952,2018/2/23,1766,3,家用-个人护理,91.3
321515962,100564,2018/2/23,805,9,零食-饮料,49.25
321515963,100883,2018/2/23,1008,15,零食-坚果,65.4
321515964,101002,2018/2/23,1299,9,生鲜-水果,73.95
321515965,100615,2018/2/23,1353,8,零食-坚果,75.65
321515966,100442,2018/2/23,802,8,零食-方便食品,48.1
321515967,100637,2018/2/23,733,7,生鲜-蔬菜,43.65
321515968,100983,2018/2/23,760,13,零食-饮料,51
321515969,100386,2018/2/23,1871,14,生鲜-禽肉,107.55
321515970,100671,2018/2/23,429,6,生鲜-禽肉,27.45
321515971,100810,2018/2/23,870,14,生鲜-水产,57.5
321515972,100833,2018/2/23,1210,6,生鲜-水果,66.5
321515973,100921,2018/2/23,1255,22,生鲜-水果,84.75
321515974,100689,2018/2/23,1252,13,生鲜-蔬菜,75.6
321515975,100494,2018/2/23,1239,5,家用-日化用品,66.95
321515976,100476,2018/2/23,1321,10,生鲜-禽肉,76.05
321515977,100748,2018/2/23,979,8,生鲜-蔬菜,56.95
321515978,100838,2018/2/23,1638,8,生鲜-水果,89.9
321515979,100407,2018/2/23,1145,6,零食-饮料,63.25
321515980,100748,2018/2/23,1681,13,家用-个人护理,97.05
321515981,100406,2018/2/23,1114,11,生鲜-水果,66.7
321515982,100766,2018/2/23,866,9,生鲜-蔬菜,52.3
321515983,100433,2018/2/23,900,14,生鲜-水产,59
321515984,100505,2018/2/23,374,6,零食-膨化食品,24.7
321515985,100878,2018/2/23,1007,7,生鲜-水产,57.35
321515986,100537,2018/2/23,1314,10,零食-坚果,75.7
321515987,100427,2018/2/23,233,7,零食-膨化食品,18.65
321515988,100693,2018/2/23,1102,1,生鲜-蔬菜,56.1
321515989,100963,2018/2/23,763,14,零食-膨化食品,52.15
321515990,100791,2018/2/23,986,11,生鲜-禽肉,60.3
321515991,100478,2018/2/23,1188,9,生鲜-水产,68.4
321515992,100927,2018/2/23,631,5,生鲜-水产,36.55
321515993,100990,2018/2/23,1137,14,生鲜-水果,70.85
321515994,100403,2018/2/23,824,16,生鲜-水产,57.2
321515995,100618,2018/2/23,1050,11,生鲜-水产,63.5
321515996,100876,2018/2/23,831,13,家用-日化用品,54.55
321515997,100436,2018/2/23,1092,8,零食-方便食品,62.6
321515998,101002,2018/2/23,793,16,零食-膨化食品,55.65
321515999,100653,2018/2/23,1128,16,家用-清洁用品,72.4
321516000,100913,2018/2/24,733,5,家用-个人护理,41.65
321516001,100366,2018/2/24,554,8,生鲜-蔬菜,35.7
321516002,100735,2018/2/24,662,18,家用-日化用品,51.1
321516003,100521,2018/2/24,1097,9,零食-坚果,63.85
321516004,100634,2018/2/24,547,15,家用-清洁用品,42.35
321516005,100587,2018/2/24,1098,7,生鲜-蔬菜,61.9
321516006,100878,2018/2/24,180,7,生鲜-水产,16
321516007,100745,2018/2/24,908,5,生鲜-水果,50.4
321516008,100734,2018/2/24,1084,19,零食-坚果,73.2
321516009,100730,2018/2/24,1061,6,生鲜-水产,59.05
321516010,100731,2018/2/24,468,16,家用-日化用品,39.4
321516011,100897,2018/2/24,767,9,生鲜-水果,47.35
321516012,100356,2018/2/24,1350,13,零食-饮料,80.5
321516013,100622,2018/2/24,456,13,零食-饮料,35.8
321516014,100597,2018/2/24,542,8,零食-坚果,35.1
321516015,100494,2018/2/24,609,13,零食-膨化食品,43.45
321516016,100861,2018/2/24,987,9,家用-清洁用品,58.35
321516017,100576,2018/2/24,1032,9,家用-日化用品,60.6
321516018,100383,2018/2/24,536,10,零食-饮料,36.8
321516019,100976,2018/2/24,925,13,家用-个人护理,59.25
321516020,101000,2018/2/24,912,4,生鲜-禽肉,49.6
321516021,100357,2018/2/24,757,5,家用-个人护理,42.85
321516022,100755,2018/2/24,794,11,零食-方便食品,50.7
321516023,100536,2018/2/24,624,19,零食-坚果,50.2
321516024,100450,2018/2/24,516,7,零食-方便食品,32.8
321516025,100372,2018/2/24,1320,13,生鲜-禽肉,79
321516026,100991,2018/2/24,843,10,生鲜-禽肉,52.15
321516027,100578,2018/2/24,1290,16,零食-坚果,80.5
321516028,100696,2018/2/24,1186,1,生鲜-水果,60.3
321516029,100999,2018/2/24,1288,7,家用-日化用品,71.4
321516030,100869,2018/2/24,1054,3,家用-清洁用品,55.7
321516031,100598,2018/2/24,386,19,零食-饮料,38.3
321516032,100355,2018/2/24,1264,16,零食-膨化食品,79.2
321516033,100639,2018/2/24,847,16,生鲜-水果,58.35
321516034,100508,2018/2/24,779,9,零食-膨化食品,47.95
321516035,100463,2018/2/24,1017,8,生鲜-水产,58.85
321516036,100943,2018/2/24,909,15,零食-饮料,60.45
321516037,100930,2018/2/24,803,13,家用-清洁用品,53.15
321516038,100756,2018/2/24,1539,7,零食-坚果,83.95
321516039,100614,2018/2/24,1457,11,生鲜-禽肉,83.85
321516040,100879,2018/2/24,1229,19,零食-坚果,80.45
321516041,100955,2018/2/24,1216,7,零食-饮料,67.8
321516042,100781,2018/2/24,1280,7,家用-清洁用品,71
321516043,100455,2018/2/24,921,6,家用-清洁用品,52.05
321516044,100409,2018/2/24,514,9,生鲜-水产,34.7
321516045,100626,2018/2/24,1021,11,家用-个人护理,62.05
321516046,100992,2018/2/24,1543,8,零食-膨化食品,85.15
321516047,100687,2018/2/24,989,14,生鲜-水产,63.45
321516048,100741,2018/2/24,523,11,零食-方便食品,37.15
321516049,100526,2018/2/24,1226,6,生鲜-禽肉,67.3
321516050,100808,2018/2/24,1508,13,零食-膨化食品,88.4
321516051,100642,2018/2/24,1089,11,零食-饮料,65.45
321516052,100753,2018/2/24,1137,15,家用-个人护理,71.85
321516053,100883,2018/2/25,781,12,零食-饮料,51.05
321516054,100846,2018/2/25,1301,7,零食-膨化食品,72.05
321516055,100692,2018/2/25,1083,4,家用-个人护理,58.15
321516056,100538,2018/2/25,1675,8,家用-个人护理,91.75
321516057,100553,2018/2/25,1210,5,家用-个人护理,65.5
321516058,100484,2018/2/25,862,4,零食-膨化食品,47.1
321516059,100591,2018/2/25,736,14,家用-清洁用品,50.8
321516060,100678,2018/2/25,546,6,家用-个人护理,33.3
321516061,100751,2018/2/25,969,15,生鲜-水果,63.45
321516062,100684,2018/2/25,1189,7,生鲜-水果,66.45
321516063,100710,2018/2/25,793,5,生鲜-水产,44.65
321516064,100712,2018/2/25,1630,1,家用-个人护理,82.5
321516065,100619,2018/2/25,914,12,零食-膨化食品,57.7
321516066,100706,2018/2/25,997,12,生鲜-水果,61.85
321516067,100470,2018/2/25,1599,8,家用-个人护理,87.95
321516068,100481,2018/2/25,1813,15,生鲜-水产,105.65
321516069,100982,2018/2/25,1226,3,零食-坚果,64.3
321516070,100370,2018/2/25,828,9,生鲜-水产,50.4
321516071,100880,2018/2/25,761,9,家用-清洁用品,47.05
321516072,100495,2018/2/25,495,21,零食-坚果,45.75
321516073,100891,2018/2/25,1409,17,生鲜-禽肉,87.45
321516074,100824,2018/2/25,1599,7,零食-膨化食品,86.95
321516075,100764,2018/2/25,1432,10,零食-坚果,81.6
321516076,100611,2018/2/25,990,11,零食-饮料,60.5
321516077,100766,2018/2/25,1040,12,生鲜-水产,64
321516078,100608,2018/2/25,1282,5,生鲜-禽肉,69.1
321516079,100906,2018/2/25,923,13,零食-方便食品,59.15
321516080,100484,2018/2/25,1195,16,零食-饮料,75.75
321516081,100998,2018/2/25,1237,5,生鲜-水产,66.85
321516082,100855,2018/2/25,1031,1,生鲜-禽肉,52.55
321516083,100479,2018/2/25,755,11,零食-膨化食品,48.75
321516084,100695,2018/2/25,1297,9,零食-方便食品,73.85
321516085,100576,2018/2/25,1232,21,家用-日化用品,82.6
321516086,100652,2018/2/25,1094,8,生鲜-水产,62.7
321516087,100581,2018/2/25,1150,19,生鲜-蔬菜,76.5
321516088,100622,2018/2/25,1029,11,生鲜-水产,62.45
321516089,100932,2018/2/25,984,9,生鲜-水产,58.2
321516090,100993,2018/2/25,1136,7,生鲜-禽肉,63.8
321516091,100872,2018/2/25,1092,6,生鲜-蔬菜,60.6
321516092,100738,2018/2/25,1185,12,零食-膨化食品,71.25
321516093,100937,2018/2/25,1350,4,零食-膨化食品,71.5
321516094,100450,2018/2/25,1009,4,零食-方便食品,54.45
321516095,100597,2018/2/25,550,12,零食-坚果,39.5
321516096,100786,2018/2/25,1058,6,家用-日化用品,58.9
321516097,100972,2018/2/25,965,4,家用-日化用品,52.25
321516098,100566,2018/2/25,1112,11,生鲜-水产,66.6
321516099,100502,2018/2/25,848,6,生鲜-蔬菜,48.4
321516100,100761,2018/2/25,867,7,零食-膨化食品,50.35
321516101,100741,2018/2/25,726,13,生鲜-蔬菜,49.3
321516102,100538,2018/2/25,1073,16,生鲜-蔬菜,69.65
321516103,100409,2018/2/25,1770,15,生鲜-水果,103.5
321516104,100492,2018/2/25,995,5,家用-个人护理,54.75
321516105,101003,2018/2/25,1007,11,生鲜-水产,61.35
321516106,100477,2018/2/25,962,14,生鲜-禽肉,62.1
321516107,100697,2018/2/25,883,4,零食-膨化食品,48.15
321516108,100578,2018/2/25,1044,6,家用-个人护理,58.2
321516109,100895,2018/2/25,780,12,家用-个人护理,51
321516110,100635,2018/2/25,675,12,生鲜-水产,45.75
321516111,100558,2018/2/25,1369,14,零食-饮料,82.45
321516112,100789,2018/2/25,852,12,家用-清洁用品,54.6
321516113,100418,2018/2/25,1263,5,生鲜-水果,68.15
321516114,100620,2018/2/25,898,3,零食-坚果,47.9
321516115,100835,2018/2/25,1228,11,零食-膨化食品,72.4
321516116,100820,2018/2/25,1334,7,生鲜-水果,73.7
321516117,100649,2018/2/25,737,15,生鲜-水产,51.85
321516118,100410,2018/2/25,698,7,生鲜-水果,41.9
321516119,100736,2018/2/25,1000,11,生鲜-蔬菜,61
321516120,100945,2018/2/25,797,12,零食-膨化食品,51.85
